channel_name,channel_logos,channel_link,m3u8_link
Dunya News,http://ebravo.pk/classic/uploads/webtv//a16c6b3f6e98b23a30aa4bc9f0e52a80.jpg,http://ebravo.pk/classic/webtv-236.html,http://58.65.194.14:1935/live/DunyaNews.stream/playlist.m3u8
Euro News ,http://ebravo.pk/classic/uploads/webtv//9b2c6120a964f63488eea74a02fb2b54.jpg,http://ebravo.pk/classic/webtv-190.html,http://58.65.194.14:1935/live/Euro-news.stream/playlist.m3u8
Euro Sports 1 HD,http://ebravo.pk/classic/uploads/webtv//729aa71ec754746f4dc55dda67be375a.jpg,http://ebravo.pk/classic/webtv-266.html,http://58.65.194.14:1935/live/Euro-sport-1-HD.stream/playlist.m3u8
Euro Sports 2 HD,http://ebravo.pk/classic/uploads/webtv//618b7da46f9e62a8037144267e0f2a59.jpg,http://ebravo.pk/classic/webtv-267.html,http://58.65.194.14:1935/live/Eurosport-2-HD.stream/playlist.m3u8
Express Entertainment,http://ebravo.pk/classic/uploads/webtv//35831678e9acb98267ad57f7fcab55b1.jpg,http://ebravo.pk/classic/webtv-74.html,http://58.65.194.14:1935/live/Express-entertainment.stream/playlist.m3u8
Express News,http://ebravo.pk/classic/uploads/webtv//f7874909e41fc3b1c681729d2ebeff7e.jpg,http://ebravo.pk/classic/webtv-73.html,http://58.65.194.14:1935/live/express.stream/playlist.m3u8
Extreme Sports HD,http://ebravo.pk/classic/uploads/webtv//032170bdc41dfd940492ccadb4730b02.jpg,http://ebravo.pk/classic/webtv-269.html,http://58.65.194.14:1935/live/Extreme Sports HD.stream/playlist.m3u8
Film World,http://ebravo.pk/classic/uploads/webtv//dd39e8800ab77d9603c014dff41c9497.jpg,http://ebravo.pk/classic/webtv-281.html,http://58.65.194.14:1935/live/Filmworld.stream/playlist.m3u8
Fox Comedy,http://ebravo.pk/classic/uploads/webtv//2e078704a24427569982903907328abf.jpg,http://ebravo.pk/classic/webtv-282.html,http://58.65.194.14:1935/live/Fox-Comedy-HD.stream/playlist.m3u8
Fox HD,http://ebravo.pk/classic/uploads/webtv//548cd6c799c85e1fbd9d4e28380b57ab.jpg,http://ebravo.pk/classic/webtv-283.html,http://58.65.194.14:1935/live/FOX-HD.stream/playlist.m3u8
Fox Life,http://ebravo.pk/classic/uploads/webtv//48f2c249f002e35a2eed0c6881d4621c.jpg,http://ebravo.pk/classic/webtv-315.html,http://58.65.194.14:1935/live/History HD.stream/playlist.m3u8
France 24 News HD,http://ebravo.pk/classic/uploads/webtv//a100fc2e946787ea829567482e16ad29.jpg,http://ebravo.pk/classic/webtv-206.html,http://58.65.194.14:1935/live/France24.stream/playlist.m3u8
GEM Onyx HD,http://ebravo.pk/classic/uploads/webtv//cd22b4d6ef5643e1334d4cbf7f1bd0d2.jpg,http://ebravo.pk/classic/webtv-312.html,http://58.65.194.14:1935/live/Fashion-tv.stream/playlist.m3u8
GNN News HD,http://ebravo.pk/classic/uploads/webtv//79c77e27a2d5279d0c869c330f7292fd.jpg,http://ebravo.pk/classic/webtv-177.html,http://58.65.194.14:1935/live/GNN-HD.stream/playlist.m3u8
Geo Entertainment,http://ebravo.pk/classic/uploads/webtv//6abc868f2a8cf59012fb3c98dc015cb0.jpg,http://ebravo.pk/classic/webtv-89.html,http://58.65.194.14:1935/live/Geo-entertainment.stream/playlist.m3u8
Geo Kahani,http://ebravo.pk/classic/uploads/webtv//cf846ba806007d583a4505309486579b.jpg,http://ebravo.pk/classic/webtv-209.html,http://58.65.194.14:1935/live/Geo Khani.stream/playlist.m3u8
Geo News,http://ebravo.pk/classic/uploads/webtv//dcd24efe923283eb5dd272617716cf49.jpg,http://ebravo.pk/classic/webtv-79.html,http://58.65.194.14:1935/live/Geo-news.stream/playlist.m3u8
Geo Super,http://ebravo.pk/classic/uploads/webtv//484b3c497175d8ef363aa7affec034b6.jpg,http://ebravo.pk/classic/webtv-97.html,http://58.65.194.14:1935/live/Geo-super.stream/playlist.m3u8
HBO,http://ebravo.pk/classic/uploads/webtv//8b657ef59fb77825a6a1175bde774143.jpg,http://ebravo.pk/classic/webtv-258.html,http://58.65.194.14:1935/live/AD Sports 2 HD.stream/playlist.m3u8
HBO 2 HD,http://ebravo.pk/classic/uploads/webtv//359ebf2483cf2b22dab7e8ea5f4eb4ac.jpg,http://ebravo.pk/classic/webtv-259.html,http://58.65.194.14:1935/live/HBO-2-HD.stream/playlist.m3u8
HBO HD,http://ebravo.pk/classic/uploads/webtv//f0f7d290d2983a8cbd0c5e535e695175.jpg,http://ebravo.pk/classic/webtv-261.html,http://58.65.194.14:1935/live/MotorvisionHD.stream/playlist.m3u8
Hadi TV,http://ebravo.pk/classic/uploads/webtv//374cccb96acc9328d2fb27a5fc67807f.jpg,http://ebravo.pk/classic/webtv-328.html,http://58.65.194.14:1935/live/Hadi-TV.stream/playlist.m3u8
History Channel HD,http://ebravo.pk/classic/uploads/webtv//533274397eee8ca48fa7057dc2a5b3cf.jpg,http://ebravo.pk/classic/webtv-270.html,http://58.65.194.14:1935/live/MTV-Live-HD.stream/playlist.m3u8
Hum Masala,http://ebravo.pk/classic/uploads/webtv//ebce9e716e6393ecec25427f2612b81c.jpg,http://ebravo.pk/classic/webtv-93.html,http://58.65.194.14:1935/live/Hum-masala.stream/playlist.m3u8
Hum News HD,http://ebravo.pk/classic/uploads/webtv//95574a94609c368b499939f796309c1e.jpg,http://ebravo.pk/classic/webtv-173.html,http://58.65.194.14:1935/live/HUM-News.stream/playlist.m3u8
Hum Sitaray,http://ebravo.pk/classic/uploads/webtv//79bbc7c44503596540ccc9bb746ee0b9.jpg,http://ebravo.pk/classic/webtv-210.html,http://58.65.194.14:1935/live/Hum-sitaray.stream/playlist.m3u8
Hum TV HD,http://ebravo.pk/classic/uploads/webtv//f6c50a1433cafb6e28c28ddf28191024.jpg,http://ebravo.pk/classic/webtv-69.html,http://58.65.194.14:1935/live/Hum-tv.stream/playlist.m3u8
Jalwa,http://ebravo.pk/classic/uploads/webtv//81825de9d1c697d357a2e5893f327287.jpg,http://ebravo.pk/classic/webtv-218.html,http://58.65.194.14:1935/live/jalwa.stream/playlist.m3u8
Karbala TV,http://ebravo.pk/classic/uploads/webtv//c0f3086cb2f2be3398b2a6a758e6edb9.jpg,http://ebravo.pk/classic/webtv-329.html,http://58.65.194.14:1935/live/Karbala-TV.stream/playlist.m3u8
Lahore News HD ,http://ebravo.pk/classic/uploads/webtv//41c1e42293a79587bf07a143299de0f8.jpg,http://ebravo.pk/classic/webtv-306.html,http://58.65.194.14:1935/live/myCinemaHD.stream/playlist.m3u8
MBC 2 HD,http://ebravo.pk/classic/uploads/webtv//1593e34d6ace9f1e8565dd1f1d7e08c4.jpg,http://ebravo.pk/classic/webtv-303.html,http://58.65.194.14:1935/live/MBC2HD.stream/playlist.m3u8
MBC 4 HD,http://ebravo.pk/classic/uploads/webtv//0844aad39eb62bed2e27c69a772d3595.jpg,http://ebravo.pk/classic/webtv-302.html,http://58.65.194.14:1935/live/MBC-4.stream/playlist.m3u8
MBC Action HD ,http://ebravo.pk/classic/uploads/webtv//bfc03646f76a46dc87bbe51d8545d316.jpg,http://ebravo.pk/classic/webtv-304.html,http://58.65.194.14:1935/live/MBC-Action-HD.stream/playlist.m3u8
MBC Max ,http://ebravo.pk/classic/uploads/webtv//cf918d71161d98085ac604c43c37b486.jpg,http://ebravo.pk/classic/webtv-305.html,http://58.65.194.14:1935/live/MBCMax.stream/playlist.m3u8
MTV OOS,http://ebravo.pk/classic/uploads/webtv//9e4ec38b77b05d1896abf177fbfe9136.jpg,http://ebravo.pk/classic/webtv-299.html,http://58.65.194.14:1935/live/VH1.stream/playlist.m3u8
Madani Channel,http://ebravo.pk/classic/uploads/webtv//aefff838777996bccf7fc1b655a6c5a4.jpg,http://ebravo.pk/classic/webtv-224.html,http://58.65.194.14:1935/live/Madani-Channel.stream/playlist.m3u8
NAT Geo People HD,http://ebravo.pk/classic/uploads/webtv//047de1a77fe917fda4685a30e7741a05.jpg,http://ebravo.pk/classic/webtv-262.html,http://58.65.194.14:1935/live/NatGeoPeopleHD.stream/playlist.m3u8
NAT Geo Wild HD,http://ebravo.pk/classic/uploads/webtv//459d3a2a087398e11087728705145d1d.jpg,http://ebravo.pk/classic/webtv-263.html,http://58.65.194.14:1935/live/Nat-Geo-Wild-HD.stream/playlist.m3u8
NBC Golf HD,http://ebravo.pk/classic/uploads/webtv//c462328d1c536d2b13acc9d204457e03.jpg,http://ebravo.pk/classic/webtv-309.html,http://58.65.194.14:1935/live/AMCHD.stream/playlist.m3u8
NHK World HD,http://ebravo.pk/classic/uploads/webtv//e6b52971fdb50e6651944a2bf2f4633c.jpg,http://ebravo.pk/classic/webtv-301.html,http://58.65.194.14:1935/live/NHKWorldHD.stream/playlist.m3u8
National Geographic,http://ebravo.pk/classic/uploads/webtv//966ca3107f8340e897f7e08a254005e3.jpg,http://ebravo.pk/classic/webtv-255.html,http://58.65.194.14:1935/live/National-Geographic-HD.stream/playlist.m3u8
Neo News HD,http://ebravo.pk/classic/uploads/webtv//8942edde821c3ebb7e2e38fcc3aa7a35.jpg,http://ebravo.pk/classic/webtv-230.html,http://58.65.194.14:1935/live/NeoNewsHD.stream/playlist.m3u8
News One,http://ebravo.pk/classic/uploads/webtv//e7f027fa228d21ddbaa23e93f0ca7892.jpg,http://ebravo.pk/classic/webtv-154.html,http://58.65.194.14:1935/live/News-One.stream/playlist.m3u8
Nick Jr .,http://ebravo.pk/classic/uploads/webtv//f7736e3e1c5822be079581e28289b2d8.jpg,http://ebravo.pk/classic/webtv-277.html,http://58.65.194.14:1935/live/NickJr.stream/playlist.m3u8
Nick Music,http://ebravo.pk/classic/uploads/webtv//0b6a8389c2b879325ad60cd4fbac6e79.jpg,http://ebravo.pk/classic/webtv-273.html,http://58.65.194.14:1935/live/TraceUrban.stream/playlist.m3u8
Nickelodeon,http://ebravo.pk/classic/uploads/webtv//aae546cea45c9c12e0d2057c47f0a21c.jpg,http://ebravo.pk/classic/webtv-184.html,http://58.65.194.14:1935/live/Nickelodeon.stream/playlist.m3u8
OSN Movies HD,http://ebravo.pk/classic/uploads/webtv//b7cadfe12fb5d1bea781cf29a8838c77.jpg,http://ebravo.pk/classic/webtv-260.html,http://58.65.194.14:1935/live/HBO-3-HD.stream/playlist.m3u8
PLAY Entertainment,http://ebravo.pk/classic/uploads/webtv//1d67cd00725a07076e4089c3f1a31c72.jpg,http://ebravo.pk/classic/webtv-171.html,http://58.65.194.14:1935/live/Play-Entertainment.stream/playlist.m3u8
PNN News HD,http://ebravo.pk/classic/uploads/webtv//0daad3bf67df96e75b0a970352b074f3.jpg,http://ebravo.pk/classic/webtv-294.html,http://58.65.194.14:1935/live/13 Ulica HD.stream/playlist.m3u8
PTV Home,http://ebravo.pk/classic/uploads/webtv//b72bd40ae31ca026be745f732251b06c.jpg,http://ebravo.pk/classic/webtv-192.html,http://58.65.194.14:1935/live/PTV-Home.stream/playlist.m3u8
PTV National,http://ebravo.pk/classic/uploads/webtv//60e2e3f306a5dad2bf45aa9b550264a7.jpg,http://ebravo.pk/classic/webtv-228.html,http://58.65.194.14:1935/live/PTV-National.stream/playlist.m3u8
PTV News HD,http://ebravo.pk/classic/uploads/webtv//b03f02bf5fa6137a2804a4191c9cc0b3.jpg,http://ebravo.pk/classic/webtv-186.html,http://58.65.194.14:1935/live/PTV-News.stream/playlist.m3u8
PTV Sports-1,http://ebravo.pk/classic/uploads/webtv//aec04f973aa2e55cab6217a35417150a.jpg,http://ebravo.pk/classic/webtv-100.html,http://203.101.163.5:1935/live/PTV-Sports.stream/playlist.m3u8
PTV Sports-2,http://ebravo.pk/classic/uploads/webtv/Sports/2ae0dd5bb98bfdb22933289cd16962aa.jpg,http://ebravo.pk/classic/webtv-331.html,http://192.168.246.102:1935/live/PTV-Sports.stream/playlist.m3u8
PTV Sports-3,http://ebravo.pk/classic/uploads/webtv/Sports/6e5468c9399a0a84513d09bcfe5ccb96.jpg,http://ebravo.pk/classic/webtv-332.html,http://192.168.246.134:1935/live/PTV-Sports.stream/playlist.m3u8
Peace TV English,http://ebravo.pk/classic/uploads/webtv//1877781a2f0d35e6560a9e172bfd2082.jpg,http://ebravo.pk/classic/webtv-278.html,http://58.65.194.14:1935/live/peace_tv.stream/playlist.m3u8
Samaa News,http://ebravo.pk/classic/uploads/webtv//db626388ffadd86232b3f126593e4935.jpg,http://ebravo.pk/classic/webtv-78.html,http://58.65.194.14:1935/live/Samaa.stream/playlist.m3u8
SciFi HD ,http://ebravo.pk/classic/uploads/webtv//3d36ae6c8acf22fd3b4dca01f85560fc.jpg,http://ebravo.pk/classic/webtv-296.html,http://58.65.194.14:1935/live/ScifiUniversal.stream/playlist.m3u8
Sindh TV ,http://ebravo.pk/classic/uploads/webtv//1b7ad2744e833cc29d2c29fdc8c2870c.jpg,http://ebravo.pk/classic/webtv-324.html,http://58.65.194.14:1935/live/Sindh-TV.stream/playlist.m3u8
Sindh TV News,http://ebravo.pk/classic/uploads/webtv//6315964f181b9b2957d042a40a8bc2c9.jpg,http://ebravo.pk/classic/webtv-323.html,http://58.65.194.14:1935/live/Sindh-TV-News.stream/playlist.m3u8
Start Sports HD 1,http://ebravo.pk/classic/uploads/webtv/Sports/97495ac077d4d58c043c0c55f87d0d47.jpg,http://ebravo.pk/classic/webtv-341.html,http://192.168.246.134:1935/live/Star-Sports-HD-1.stream/playlist.m3u8
Such News HD,http://ebravo.pk/classic/uploads/webtv//0b7119f394a319278f89157e1b3f25b1.jpg,http://ebravo.pk/classic/webtv-178.html,http://58.65.194.14:1935/live/SuchTV.stream/playlist.m3u8
TRT World HD,http://ebravo.pk/classic/uploads/webtv//385c16d9b280c9a27eed0e8fd8dfe8fe.jpg,http://ebravo.pk/classic/webtv-297.html,http://58.65.194.14:1935/live/TRTWorldHD.stream/playlist.m3u8
TV One,http://ebravo.pk/classic/uploads/webtv//4e10d97d0aeefe626cf7ce521c954b92.jpg,http://ebravo.pk/classic/webtv-187.html,http://58.65.194.14:1935/live/TV-One.stream/playlist.m3u8
Ten Sports-1,http://ebravo.pk/classic/uploads/webtv//6a0539b834b6dabf4a3e56b8e842b0f4.jpg,http://ebravo.pk/classic/webtv-162.html,http://203.101.163.5:1935/live/Tensports.stream/playlist.m3u8
Ten Sports-2,http://ebravo.pk/classic/uploads/webtv/Sports/cf833372e2f49a7f705af27e74267950.jpg,http://ebravo.pk/classic/webtv-334.html,http://192.168.246.102:1935/live/tensports.stream/playlist.m3u8
Ten Sports-3,http://ebravo.pk/classic/uploads/webtv/Sports/bb3299d74cfcb003b14eb5740487493c.jpg,http://ebravo.pk/classic/webtv-333.html,http://192.168.246.134:1935/live/tensports.stream/playlist.m3u8
Travel Channel HD ,http://ebravo.pk/classic/uploads/webtv//8362014ff7d8a1d7dadf79567b74e07a.jpg,http://ebravo.pk/classic/webtv-318.html,http://58.65.194.14:1935/live/Travel-Channel-HD.stream/playlist.m3u8
Urdu 1,http://ebravo.pk/classic/uploads/webtv//2a000030f8205c960fa11d5c96085b05.jpg,http://ebravo.pk/classic/webtv-67.html,http://58.65.194.14:1935/live/Urdu-1.stream/playlist.m3u8
WB TV HD ,http://ebravo.pk/classic/uploads/webtv//c6455cbb61bf39c4b02aafc113945ec8.jpg,http://ebravo.pk/classic/webtv-310.html,http://58.65.194.14:1935/live/tnt.stream/playlist.m3u8
minikaGO,http://ebravo.pk/classic/uploads/webtv//cea49c9f7cd0f0477e3d218e174d8419.jpg,http://ebravo.pk/classic/webtv-287.html,http://58.65.194.14:1935/live/minika.stream/playlist.m3u8
